ID,Region,Country,City,Latitude,Longitude,Activity,Description,Category,Difficulty,Skill_Tier,Tier_Level,Indoor_Outdoor,Popularity,Duration,Price_Range,Frequency,Equipment_Needed
7993,Africa,Kenya,Nairobi,49.9084,39.115,pottery,"Pottery sessions in Nairobi, Kenya, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Indoor,4,1 hour,$,Seasonal,"clay, wheel, apron"
7994,Oceania,Australia,Sydney,25.4638,142.1899,DIY car,"Experience the joy of DIY car in Sydney, Australia, surrounded by supportive mentors and local tradition.",Culture,Intermediate,Tier 2,2,Outdoor,5,2 hours,$,Monthly,"wax, sponge, bucket"
7995,Europe,UK,London,40.8939,148.0574,scrapbooking,"Experience the joy of scrapbooking in London, UK, surrounded by supportive mentors and local tradition.",Technology,Easy,Tier 1,1,Indoor,3,1 hour,$,Weekly,"notebook, pen, reading glasses"
7996,Africa,South Africa,Johannesburg,27.1161,34.2568,DIY hair and beauty,"In Johannesburg, South Africa, participants can explore DIY hair and beauty through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Automotive,Easy,Tier 1,1,Outdoor,5,30 min,$,Daily,"mirror, hairdryer, comb"
7997,Asia,Japan,Tokyo,22.3877,149.0165,site seeing,"In Tokyo, Japan, participants can explore site seeing through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Crafts,Intermediate,Tier 2,2,Indoor,4,2 hours,$,Monthly,"map, water bottle, camera"
7998,Europe,Spain,Madrid,20.3393,50.5635,leather stitching,"Experience the joy of leather stitching in Madrid, Spain, surrounded by supportive mentors and local tradition.",Automotive,Intermediate,Tier 2,2,Indoor,1,30 min,$$,Monthly,"punch, awl, stitching kit"
7999,Europe,Germany,Berlin,4.698,-6.738,site seeing,"In Berlin, Germany, participants can explore site seeing through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Indoor,3,Half day,$$,Daily,"map, water bottle, camera"
8000,Americas,USA,San Francisco,31.7211,-79.206,local exploration,"Experience the joy of local exploration in San Francisco, USA, surrounded by supportive mentors and local tradition.",Automotive,Advanced,Tier 3,3,Outdoor,3,30 min,$$,Monthly,"camera, map, backpack"
8001,Africa,Kenya,Mombasa,7.6759,-22.3629,dancing,"Experience the joy of dancing in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Lifestyle,Advanced,Tier 3,3,Indoor,1,Half day,$,Monthly,"camera, map, backpack"
8002,Asia,Turkey,Istanbul,17.0128,58.8292,personal planning,"Personal planning sessions in Istanbul, Turkey, offer creativity, culture, and community learning.",Culture,Intermediate,Tier 2,2,Outdoor,3,Half day,$,Daily,"toolbox, tape measure, gloves"
8003,Oceania,Australia,Perth,-25.1121,115.8564,homegrown food,"Homegrown food sessions in Perth, Australia, offer creativity, culture, and community learning.",Wellness,Intermediate,Tier 2,2,Indoor,2,2 hours,$,Daily,"gloves, planter, seeds"
8004,Africa,South Africa,Durban,2.5184,100.2236,architecture admiration,"In Durban, South Africa, participants can explore architecture admiration through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Indoor,5,Half day,$$,Monthly,"camera, sketchbook, measure tape"
8005,Americas,Mexico,Mexico City,46.3653,-92.366,knife making,"Knife making sessions in Mexico City, Mexico, offer creativity, culture, and community learning.",Technology,Easy,Tier 1,1,Outdoor,3,1 hour,$,Seasonal,"steel, anvil, hammer"
8006,Oceania,New Zealand,Christchurch,35.0118,60.9604,ceramic sculpting,"Ceramic sculpting sessions in Christchurch, New Zealand, offer creativity, culture, and community learning.",Culture,Easy,Tier 1,1,Outdoor,1,1 hour,$$,Monthly,"kiln, ceramic tools, glaze"
8007,Asia,Turkey,Istanbul,-2.1308,29.7903,metal crafting,"Metal crafting sessions in Istanbul, Turkey, offer creativity, culture, and community learning.",Crafts,Easy,Tier 1,1,Indoor,3,2 hours,$,Weekly,"forge, tongs, grinder"
8008,Europe,Germany,Berlin,28.2926,99.4964,ceramic sculpting,"In Berlin, Germany, participants can explore ceramic sculpting through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Indoor,1,Half day,$$$,Weekly,"kiln, ceramic tools, glaze"
8009,Asia,Japan,Kyoto,5.6439,23.5113,architecture admiration,"In Kyoto, Japan, participants can explore architecture admiration through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Culture,Easy,Tier 1,1,Indoor,4,Half day,$,Daily,"camera, sketchbook, measure tape"
8010,Oceania,Australia,Melbourne,-34.7292,101.712,electronics tinkering,"Electronics tinkering sessions in Melbourne, Australia, offer creativity, culture, and community learning.",Automotive,Intermediate,Tier 2,2,Outdoor,4,Half day,$,Weekly,"breadboard, USB cable, resistors"
8011,Oceania,New Zealand,Wellington,59.2402,-69.8381,jewelry making,"Experience the joy of jewelry making in Wellington, New Zealand, surrounded by supportive mentors and local tradition.",Lifestyle,Advanced,Tier 3,3,Outdoor,1,2 hours,$,Seasonal,"pliers, wire, beads"
8012,Oceania,Australia,Perth,-33.8751,-49.2785,folk dance,"Folk dance sessions in Perth, Australia, offer creativity, culture, and community learning.",Technology,Intermediate,Tier 2,2,Indoor,1,1 hour,$,Daily,"music player, dance shoes, mirrors"
8013,Africa,South Africa,Johannesburg,28.8298,44.8434,decluttering,"Decluttering sessions in Johannesburg, South Africa, offer creativity, culture, and community learning.",Lifestyle,Easy,Tier 1,1,Indoor,4,30 min,$$,Daily,"paintbrush, apron, fabric scraps"
8014,Asia,India,Bangalore,-25.7362,79.9907,car maintenance,"Experience the joy of car maintenance in Bangalore, India, surrounded by supportive mentors and local tradition.",Wellness,Advanced,Tier 3,3,Indoor,5,30 min,$$,Seasonal,"wax, sponge, bucket"
8015,Asia,Japan,Osaka,47.1443,-14.5018,pottery,"Experience the joy of pottery in Osaka, Japan, surrounded by supportive mentors and local tradition.",Lifestyle,Intermediate,Tier 2,2,Indoor,1,30 min,$,Weekly,"clay, wheel, apron"
8016,Americas,USA,Portland,41.4201,23.6335,electronics tinkering,"Experience the joy of electronics tinkering in Portland, USA, surrounded by supportive mentors and local tradition.",Crafts,Advanced,Tier 3,3,Outdoor,1,1 hour,$$$,Monthly,"breadboard, USB cable, resistors"
8017,Europe,Sweden,Malmö,-21.6498,-75.1484,DIY car,"Experience the joy of DIY car in Malmö, Sweden, surrounded by supportive mentors and local tradition.",Lifestyle,Advanced,Tier 3,3,Outdoor,1,2 hours,$,Daily,"wax, sponge, bucket"
8018,Oceania,Australia,Sydney,3.4895,17.8996,urban gardening,"In Sydney, Australia, participants can explore urban gardening through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Wellness,Easy,Tier 1,1,Outdoor,1,Half day,$,Monthly,"watering can, soil, spade"
8019,Oceania,Australia,Brisbane,10.6788,-83.9608,cupboard clean out,"Experience the joy of cupboard clean out in Brisbane, Australia, surrounded by supportive mentors and local tradition.",Wellness,Easy,Tier 1,1,Outdoor,5,Half day,$,Monthly,"bins, labels, towels"
8020,Americas,Argentina,Buenos Aires,-20.2897,90.4267,DIY car,"Diy car sessions in Buenos Aires, Argentina, offer creativity, culture, and community learning.",Lifestyle,Easy,Tier 1,1,Outdoor,5,2 hours,$$,Seasonal,"wax, sponge, bucket"
8021,Americas,Canada,Halifax,32.3992,-4.5669,home repair,"In Halifax, Canada, participants can explore home repair through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Crafts,Easy,Tier 1,1,Outdoor,3,Half day,$$,Seasonal,"wrench, screwdriver, pliers"
8022,Europe,France,Paris,17.5702,120.6132,reading,"Experience the joy of reading in Paris, France, surrounded by supportive mentors and local tradition.",Automotive,Advanced,Tier 3,3,Outdoor,5,30 min,$$$,Monthly,"book, lamp, chair"
8023,Africa,Kenya,Kisumu,-28.2769,89.637,decluttering,"In Kisumu, Kenya, participants can explore decluttering through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Lifestyle,Intermediate,Tier 2,2,Outdoor,1,2 hours,$$,Monthly,"camera, map, backpack"
8024,Asia,India,Delhi,12.2746,124.2085,DIY home,"Diy home sessions in Delhi, India, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Outdoor,5,2 hours,$,Monthly,"paintbrush, apron, fabric scraps"
8025,Europe,Italy,Milan,-21.1122,47.7387,urban gardening,"In Milan, Italy, participants can explore urban gardening through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Technology,Easy,Tier 1,1,Indoor,2,1 hour,$,Daily,"watering can, soil, spade"
8026,Americas,Mexico,Monterrey,31.0022,-66.8088,personal planning,"Experience the joy of personal planning in Monterrey, Mexico, surrounded by supportive mentors and local tradition.",Culture,Easy,Tier 1,1,Indoor,3,2 hours,$,Monthly,"camera, map, backpack"
8027,Europe,Spain,Madrid,-30.5463,-77.23,DIY car,"Experience the joy of DIY car in Madrid, Spain, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Outdoor,3,1 hour,$$,Weekly,"wax, sponge, bucket"
8028,Americas,Brazil,São Paulo,-9.9559,71.0342,reading,"Reading sessions in São Paulo, Brazil, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Outdoor,1,Half day,$$$,Monthly,"book, lamp, chair"
8029,Europe,France,Bordeaux,9.456,-85.8342,cupboard clean out,"Cupboard clean out sessions in Bordeaux, France, offer creativity, culture, and community learning.",Culture,Easy,Tier 1,1,Outdoor,5,30 min,$$,Seasonal,"bins, labels, towels"
8030,Europe,Italy,Milan,54.4102,69.0068,DIY home,"Experience the joy of DIY home in Milan, Italy, surrounded by supportive mentors and local tradition.",Lifestyle,Intermediate,Tier 2,2,Indoor,5,30 min,$,Weekly,"notebook, pen, phone"
8031,Europe,UK,Bristol,34.5894,91.2475,memory journaling,"In Bristol, UK, participants can explore memory journaling through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Culture,Advanced,Tier 3,3,Indoor,4,Half day,$,Seasonal,"diary, pen, color markers"
8032,Americas,Brazil,Rio de Janeiro,-31.026,-44.6139,building photography,"In Rio de Janeiro, Brazil, participants can explore building photography through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Automotive,Intermediate,Tier 2,2,Indoor,5,2 hours,$,Weekly,"camera, tripod, lens"
8033,Oceania,Australia,Sydney,56.7169,136.2639,bag making,"Experience the joy of bag making in Sydney, Australia, surrounded by supportive mentors and local tradition.",Culture,Advanced,Tier 3,3,Outdoor,3,Half day,$,Monthly,"needle, thread, fabric"
8034,Oceania,New Zealand,Christchurch,-39.9526,-94.1745,reading,"Reading sessions in Christchurch, New Zealand, offer creativity, culture, and community learning.",Wellness,Easy,Tier 1,1,Outdoor,2,30 min,$$,Weekly,"book, lamp, chair"
8035,Europe,UK,Bristol,2.7459,-116.2664,bead design,"In Bristol, UK, participants can explore bead design through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Lifestyle,Easy,Tier 1,1,Indoor,5,Half day,$,Monthly,"string, needle, clips"
8036,Oceania,New Zealand,Wellington,-28.1051,143.8318,bead design,"In Wellington, New Zealand, participants can explore bead design through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Lifestyle,Easy,Tier 1,1,Outdoor,5,30 min,$,Seasonal,"string, needle, clips"
8037,Americas,Mexico,Mexico City,-26.8252,-15.9416,dancing,"Dancing sessions in Mexico City, Mexico, offer creativity, culture, and community learning.",Wellness,Advanced,Tier 3,3,Indoor,5,2 hours,$$,Weekly,"paintbrush, apron, fabric scraps"
8038,Americas,Argentina,Córdoba,24.9669,-22.4911,decluttering,"Experience the joy of decluttering in Córdoba, Argentina, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Indoor,2,1 hour,$,Monthly,"paintbrush, apron, fabric scraps"
8039,Asia,India,Chennai,-11.3624,82.1753,folk dance,"Folk dance sessions in Chennai, India, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Outdoor,5,Half day,$$$,Monthly,"music player, dance shoes, mirrors"
8040,Asia,India,Mumbai,3.9492,21.9741,knife making,"Experience the joy of knife making in Mumbai, India, surrounded by supportive mentors and local tradition.",Lifestyle,Advanced,Tier 3,3,Indoor,3,1 hour,$,Monthly,"steel, anvil, hammer"
8041,Africa,Kenya,Nairobi,51.3834,-19.1499,DIY home,"Diy home sessions in Nairobi, Kenya, offer creativity, culture, and community learning.",Technology,Intermediate,Tier 2,2,Outdoor,5,1 hour,$$$,Weekly,"camera, map, backpack"
8042,Africa,South Africa,Cape Town,44.9551,78.6859,dancing,"In Cape Town, South Africa, participants can explore dancing through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Indoor,2,30 min,$$,Seasonal,"paintbrush, apron, fabric scraps"
8043,Asia,Turkey,Izmir,-29.62,106.0412,car cleaning,"In Izmir, Turkey, participants can explore car cleaning through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Wellness,Advanced,Tier 3,3,Outdoor,1,2 hours,$$,Seasonal,"wax, sponge, bucket"
8044,Oceania,Australia,Perth,59.2566,-35.8831,site seeing,"Site seeing sessions in Perth, Australia, offer creativity, culture, and community learning.",Culture,Easy,Tier 1,1,Indoor,1,Half day,$$,Monthly,"map, water bottle, camera"
8045,Oceania,New Zealand,Wellington,37.1707,125.7542,folk dance,"In Wellington, New Zealand, participants can explore folk dance through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Indoor,1,30 min,$$,Monthly,"music player, dance shoes, mirrors"
8046,Americas,Brazil,São Paulo,-34.3045,-10.9948,folk dance,"In São Paulo, Brazil, participants can explore folk dance through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Wellness,Advanced,Tier 3,3,Indoor,5,30 min,$,Seasonal,"music player, dance shoes, mirrors"
8047,Europe,Germany,Berlin,42.2925,-83.1452,dancing,"Experience the joy of dancing in Berlin, Germany, surrounded by supportive mentors and local tradition.",Lifestyle,Intermediate,Tier 2,2,Outdoor,1,30 min,$$,Weekly,"paintbrush, apron, fabric scraps"
8048,Europe,Spain,Madrid,1.1533,-77.6574,room by room,"In Madrid, Spain, participants can explore room by room through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Outdoor,1,Half day,$$$,Seasonal,"organizer, baskets, storage box"
8049,Europe,Germany,Cologne,-27.7885,35.0582,jewelry making,"In Cologne, Germany, participants can explore jewelry making through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Crafts,Advanced,Tier 3,3,Outdoor,4,1 hour,$$$,Weekly,"pliers, wire, beads"
8050,Asia,Turkey,Ankara,38.2892,16.3992,painting,"Painting sessions in Ankara, Turkey, offer creativity, culture, and community learning.",Lifestyle,Intermediate,Tier 2,2,Outdoor,5,30 min,$,Weekly,"easel, acrylics, palette"
8051,Europe,Italy,Rome,26.4052,-103.1614,folk dance,"Folk dance sessions in Rome, Italy, offer creativity, culture, and community learning.",Lifestyle,Advanced,Tier 3,3,Outdoor,1,30 min,$$,Seasonal,"music player, dance shoes, mirrors"
8052,Africa,South Africa,Cape Town,-16.3691,126.7791,interior organization,"Interior organization sessions in Cape Town, South Africa, offer creativity, culture, and community learning.",Wellness,Intermediate,Tier 2,2,Indoor,3,30 min,$$,Monthly,"toolbox, tape measure, gloves"
8053,Europe,Spain,Madrid,6.5258,20.1388,metal crafting,"Metal crafting sessions in Madrid, Spain, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Indoor,4,2 hours,$$$,Daily,"forge, tongs, grinder"
8054,Africa,Kenya,Mombasa,11.9275,-102.1591,reading,"Experience the joy of reading in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Technology,Intermediate,Tier 2,2,Outdoor,3,30 min,$,Seasonal,"book, lamp, chair"
8055,Oceania,New Zealand,Wellington,-21.8979,50.6283,vehicle detailing,"Experience the joy of vehicle detailing in Wellington, New Zealand, surrounded by supportive mentors and local tradition.",Lifestyle,Intermediate,Tier 2,2,Indoor,2,1 hour,$$,Daily,"camera, map, backpack"
8056,Africa,Kenya,Mombasa,45.4292,-1.9875,car maintenance,"Experience the joy of car maintenance in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Wellness,Intermediate,Tier 2,2,Indoor,5,Half day,$,Monthly,"wax, sponge, bucket"
8057,Europe,Spain,Seville,-3.2802,69.28,site seeing,"In Seville, Spain, participants can explore site seeing through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Culture,Intermediate,Tier 2,2,Indoor,3,2 hours,$$$,Seasonal,"map, water bottle, camera"
8058,Oceania,Australia,Perth,14.7886,53.1799,DIY hair and beauty,"Diy hair and beauty sessions in Perth, Australia, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Indoor,5,2 hours,$$$,Daily,"mirror, hairdryer, comb"
8059,Africa,Kenya,Mombasa,34.4996,106.8107,arts and crafts,"Arts and crafts sessions in Mombasa, Kenya, offer creativity, culture, and community learning.",Wellness,Advanced,Tier 3,3,Outdoor,1,Half day,$,Monthly,"canvas, paint, brush set"
8060,Europe,Italy,Rome,-23.3757,46.6742,self-care tutorial,"Experience the joy of self-care tutorial in Rome, Italy, surrounded by supportive mentors and local tradition.",Automotive,Intermediate,Tier 2,2,Indoor,4,2 hours,$$,Daily,"wax, sponge, bucket"
8061,Oceania,New Zealand,Auckland,19.7566,93.658,personal planning,"In Auckland, New Zealand, participants can explore personal planning through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Lifestyle,Advanced,Tier 3,3,Indoor,3,1 hour,$$$,Seasonal,"notebook, pen, phone"
8062,Europe,Germany,Munich,7.4872,-97.1194,room by room,"Experience the joy of room by room in Munich, Germany, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Outdoor,2,30 min,$,Weekly,"organizer, baskets, storage box"
8063,Oceania,Australia,Melbourne,-30.1854,146.8309,folk dance,"Folk dance sessions in Melbourne, Australia, offer creativity, culture, and community learning.",Technology,Intermediate,Tier 2,2,Outdoor,5,2 hours,$$$,Seasonal,"music player, dance shoes, mirrors"
8064,Asia,Turkey,Ankara,-27.5756,19.1023,decluttering,"Decluttering sessions in Ankara, Turkey, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Indoor,1,Half day,$,Seasonal,"paintbrush, apron, fabric scraps"
8065,Americas,Argentina,Rosario,23.8464,31.5099,scrapbooking,"Scrapbooking sessions in Rosario, Argentina, offer creativity, culture, and community learning.",Crafts,Advanced,Tier 3,3,Outdoor,5,Half day,$,Weekly,"notebook, pen, reading glasses"
8066,Americas,Brazil,Recife,-4.9378,26.2585,reading,"In Recife, Brazil, participants can explore reading through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Lifestyle,Easy,Tier 1,1,Outdoor,2,Half day,$,Weekly,"book, lamp, chair"
8067,Europe,Germany,Cologne,-10.0211,-13.3472,electronics tinkering,"Experience the joy of electronics tinkering in Cologne, Germany, surrounded by supportive mentors and local tradition.",Food,Intermediate,Tier 2,2,Outdoor,1,Half day,$,Seasonal,"breadboard, USB cable, resistors"
8068,Europe,Italy,Rome,38.1263,85.6465,pottery,"Experience the joy of pottery in Rome, Italy, surrounded by supportive mentors and local tradition.",Automotive,Advanced,Tier 3,3,Indoor,3,2 hours,$,Seasonal,"clay, wheel, apron"
8069,Americas,Mexico,Guadalajara,57.8996,-43.9019,homegrown food,"In Guadalajara, Mexico, participants can explore homegrown food through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Wellness,Advanced,Tier 3,3,Indoor,2,Half day,$,Weekly,"gloves, planter, seeds"
8070,Asia,Turkey,Ankara,2.5047,22.0552,cupboard clean out,"Cupboard clean out sessions in Ankara, Turkey, offer creativity, culture, and community learning.",Crafts,Intermediate,Tier 2,2,Outdoor,3,Half day,$$,Seasonal,"bins, labels, towels"
8071,Asia,China,Shanghai,-28.5891,-52.8091,homegrown food,"In Shanghai, China, participants can explore homegrown food through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Automotive,Easy,Tier 1,1,Indoor,4,1 hour,$,Weekly,"gloves, planter, seeds"
8072,Americas,Mexico,Guadalajara,-7.351,-65.723,car maintenance,"In Guadalajara, Mexico, participants can explore car maintenance through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Lifestyle,Intermediate,Tier 2,2,Indoor,3,2 hours,$,Daily,"wax, sponge, bucket"
8073,Africa,South Africa,Durban,58.8302,-74.9863,home repair,"In Durban, South Africa, participants can explore home repair through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Crafts,Easy,Tier 1,1,Indoor,1,30 min,$$,Monthly,"wrench, screwdriver, pliers"
8074,Americas,Brazil,Rio de Janeiro,3.5067,-108.5821,DIY hair and beauty,"Experience the joy of DIY hair and beauty in Rio de Janeiro, Brazil, surrounded by supportive mentors and local tradition.",Crafts,Easy,Tier 1,1,Indoor,3,1 hour,$,Seasonal,"mirror, hairdryer, comb"
8075,Oceania,Australia,Adelaide,-10.4217,-56.6733,car maintenance,"Car maintenance sessions in Adelaide, Australia, offer creativity, culture, and community learning.",Technology,Advanced,Tier 3,3,Indoor,2,1 hour,$$,Weekly,"wax, sponge, bucket"
8076,Americas,Argentina,Buenos Aires,15.2103,-58.4544,bead design,"Bead design sessions in Buenos Aires, Argentina, offer creativity, culture, and community learning.",Culture,Advanced,Tier 3,3,Outdoor,1,30 min,$$$,Seasonal,"string, needle, clips"
8077,Europe,France,Bordeaux,20.3302,-57.548,painting,"In Bordeaux, France, participants can explore painting through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Outdoor,3,30 min,$$,Daily,"easel, acrylics, palette"
8078,Oceania,New Zealand,Wellington,36.4032,-26.0886,room by room,"Experience the joy of room by room in Wellington, New Zealand, surrounded by supportive mentors and local tradition.",Crafts,Intermediate,Tier 2,2,Outdoor,5,Half day,$,Weekly,"organizer, baskets, storage box"
8079,Europe,UK,Edinburgh,35.3415,-57.6857,tech station,"In Edinburgh, UK, participants can explore tech station through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Automotive,Intermediate,Tier 2,2,Indoor,1,2 hours,$,Daily,"soldering iron, circuit board, multimeter"
8080,Oceania,Australia,Adelaide,26.1799,-75.4674,DIY home,"Diy home sessions in Adelaide, Australia, offer creativity, culture, and community learning.",Lifestyle,Easy,Tier 1,1,Outdoor,4,30 min,$$,Weekly,"toolbox, tape measure, gloves"
8081,Europe,UK,Bristol,-36.7628,143.4695,DIY hair and beauty,"Diy hair and beauty sessions in Bristol, UK, offer creativity, culture, and community learning.",Wellness,Intermediate,Tier 2,2,Outdoor,2,1 hour,$$,Daily,"mirror, hairdryer, comb"
8082,Oceania,Australia,Sydney,10.8259,-76.9849,reading,"In Sydney, Australia, participants can explore reading through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Automotive,Easy,Tier 1,1,Outdoor,5,1 hour,$,Weekly,"book, lamp, chair"
8083,Americas,Mexico,Monterrey,-13.2342,-77.7217,decluttering,"In Monterrey, Mexico, participants can explore decluttering through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Outdoor,1,2 hours,$,Seasonal,"notebook, pen, phone"
8084,Africa,Kenya,Mombasa,43.2913,7.8147,personal planning,"Experience the joy of personal planning in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Indoor,4,Half day,$,Daily,"camera, map, backpack"
8085,Oceania,Australia,Adelaide,33.7222,-25.5864,interior organization,"Experience the joy of interior organization in Adelaide, Australia, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Indoor,2,2 hours,$,Monthly,"notebook, pen, phone"
8086,Oceania,Australia,Sydney,11.8726,79.8364,decluttering,"In Sydney, Australia, participants can explore decluttering through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Outdoor,1,30 min,$,Monthly,"camera, map, backpack"
8087,Oceania,Australia,Melbourne,52.1657,-40.2502,interior organization,"Experience the joy of interior organization in Melbourne, Australia, surrounded by supportive mentors and local tradition.",Automotive,Advanced,Tier 3,3,Indoor,5,2 hours,$,Seasonal,"camera, map, backpack"
8088,Americas,Brazil,Recife,-1.8744,-33.428,goal making/tracking,"In Recife, Brazil, participants can explore goal making/tracking through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Crafts,Advanced,Tier 3,3,Indoor,5,1 hour,$$$,Daily,"planner, sticky notes, markers"
8089,Oceania,Australia,Perth,50.2661,-62.6218,room by room,"Experience the joy of room by room in Perth, Australia, surrounded by supportive mentors and local tradition.",Technology,Easy,Tier 1,1,Outdoor,3,30 min,$,Monthly,"organizer, baskets, storage box"
8090,Europe,UK,London,39.5332,-77.3113,leather stitching,"Leather stitching sessions in London, UK, offer creativity, culture, and community learning.",Lifestyle,Easy,Tier 1,1,Indoor,3,1 hour,$$,Daily,"punch, awl, stitching kit"
8091,Africa,South Africa,Pretoria,15.3486,52.2263,ceramic sculpting,"Experience the joy of ceramic sculpting in Pretoria, South Africa, surrounded by supportive mentors and local tradition.",Culture,Easy,Tier 1,1,Indoor,1,Half day,$$,Weekly,"kiln, ceramic tools, glaze"
8092,Oceania,Australia,Perth,36.8735,-44.275,personal planning,"Personal planning sessions in Perth, Australia, offer creativity, culture, and community learning.",Culture,Easy,Tier 1,1,Outdoor,1,Half day,$$,Daily,"paintbrush, apron, fabric scraps"
8093,Oceania,New Zealand,Christchurch,-1.7895,-34.777,architecture admiration,"In Christchurch, New Zealand, participants can explore architecture admiration through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Indoor,5,30 min,$$,Monthly,"camera, sketchbook, measure tape"
8094,Europe,France,Paris,-6.7236,121.0645,car cleaning,"In Paris, France, participants can explore car cleaning through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Indoor,2,Half day,$,Monthly,"wax, sponge, bucket"
8095,Europe,France,Paris,55.2526,107.1629,folk dance,"Experience the joy of folk dance in Paris, France, surrounded by supportive mentors and local tradition.",Technology,Intermediate,Tier 2,2,Outdoor,2,1 hour,$$,Seasonal,"music player, dance shoes, mirrors"
8096,Oceania,New Zealand,Wellington,-37.1779,130.5665,DIY home,"Diy home sessions in Wellington, New Zealand, offer creativity, culture, and community learning.",Food,Easy,Tier 1,1,Outdoor,4,2 hours,$$,Weekly,"notebook, pen, phone"
8097,Asia,Japan,Osaka,-12.4902,-77.0418,home repair,"Home repair sessions in Osaka, Japan, offer creativity, culture, and community learning.",Wellness,Intermediate,Tier 2,2,Outdoor,1,1 hour,$$$,Daily,"wrench, screwdriver, pliers"
8098,Oceania,New Zealand,Auckland,30.6475,56.9902,ceramic sculpting,"Ceramic sculpting sessions in Auckland, New Zealand, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Outdoor,4,30 min,$,Daily,"kiln, ceramic tools, glaze"
8099,Americas,Canada,Toronto,-7.1221,87.1575,bead design,"Bead design sessions in Toronto, Canada, offer creativity, culture, and community learning.",Technology,Intermediate,Tier 2,2,Outdoor,4,1 hour,$,Daily,"string, needle, clips"
8100,Oceania,New Zealand,Wellington,9.5045,77.2016,DIY home,"In Wellington, New Zealand, participants can explore DIY home through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Lifestyle,Easy,Tier 1,1,Outdoor,2,30 min,$,Weekly,"notebook, pen, phone"
8101,Americas,USA,Denver,-1.1879,11.5891,bag making,"Experience the joy of bag making in Denver, USA, surrounded by supportive mentors and local tradition.",Technology,Easy,Tier 1,1,Indoor,3,Half day,$$,Weekly,"needle, thread, fabric"
8102,Oceania,New Zealand,Christchurch,35.0382,-78.2057,folk dance,"Folk dance sessions in Christchurch, New Zealand, offer creativity, culture, and community learning.",Crafts,Advanced,Tier 3,3,Indoor,3,Half day,$,Monthly,"music player, dance shoes, mirrors"
