activity_id,activity_title,instruction,activity_type,category,subcategory,duration,difficulty,cost,location,age_range,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match
ACT-000530,Explore the trails of a local botanical garden or arboretum,"Spend the day wandering through the various trails of a local botanical garden or arboretum, taking time to observe the plants and flowers around you.",Time-Bound,Baking & Cooking,"Baking, Cooking",3 hrs,Tier-1,Low,Outdoor,10 to 100,Yes,"Flexible pacing, natural surroundings, opportunities for quiet reflection","['Sight', 'Smell']",Solo,Medium,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-000531,Host a leaf-collecting and collage-making session,"Gather a variety of leaves from your backyard or a nearby park, then arrange and glue them onto a piece of paper to create a beautiful collage.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",60 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Engaging with nature can be soothing, and the activity allows for creative expression without strict guidelines.","['Touch', 'Sight']",Group 2-10,Medium,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-000532,Organize a community nature cleanup day,"Gather friends and neighbors to pick up litter and debris in a local green space. Bring trash bags, gloves, and refreshments to share after the cleanup.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",3 hrs,Tier-1,Free,Outdoor,10 to 90,Yes,"Structured activity with clear tasks, social interaction, and a focus on nature","['Touch', 'Sight', 'Movement']",Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-000533,Forage for mushrooms or wild herbs,"Spend a morning in a local forest, carefully identifying mushrooms or wild herbs. Bring a guidebook or use a reliable app to ensure safety and proper identification.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",3 hrs,Tier-2,Free,Outdoor,12 to 80,Partial,"Engaging with nature can be soothing, but ensure clear identification steps to avoid overwhelm.","['Touch', 'Sight', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Peaceful', 'Excited']"
ACT-000534,Design and plant a vegetable garden,"Choose a sunny corner in your backyard, select easy-to-grow seasonal vegetables like tomatoes, lettuce, and radishes, and plant them in rows with 12 inches apart. Water them well and watch them grow.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-1,Low,Outdoor,10 to 80,Yes,"Engaging with nature, predictable routine, and sensory-rich experience can be soothing.","['Touch', 'Sight', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Peaceful']"
ACT-000535,Construct raised beds for your garden,"Spend your weekend building raised beds by cutting wood into 4 pieces of 2x4 feet for the sides and 2 pieces of 2x2 feet for the corners, then assemble them with screws and fill with soil for planting.",Long-Term,Baking & Cooking,"Baking, Cooking",Multi-day,Tier-2,Low,Outdoor,18 to 80,Partial,Clear steps and physical activity can be grounding; consider breaking tasks into smaller parts.,"['Touch', 'Sight', 'Movement']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-000536,Learn to propagate houseplants by taking cuttings,"Take a healthy cutting from an existing houseplant, about 4-6 inches long, remove the lower leaves, and place it in a glass of water or a pot with soil. Change the water every few days or keep the soil moist until roots develop.",Long-Term,Nature & Outdoors,"Hiking, Nature Walks",Multi-day,Tier-1,Free,Indoor,10 to 100,Yes,"Simple, repetitive task with clear steps, allows for gradual progress and observation.","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000537,Spend an afternoon weeding and mulching your garden beds,"Pull out weeds by hand or with a garden tool, then spread a layer of mulch around your plants to help retain moisture and suppress new weeds. Aim for a 2-3 inch layer of mulch.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",3 hrs,Tier-2,Low,Outdoor,12 to 80,Yes,"Repetitive motions, connection with nature, and the rhythm of weeding can be soothing.","['Touch', 'Sight', 'Sound']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000538,Start a compost bin using kitchen scraps and yard waste,"Collect kitchen scraps like vegetable peels and yard waste such as leaves and grass clippings. Layer them in a bin, keeping it moist and turning it every few weeks to create rich compost for your garden.",Long-Term,Tactile & Sensory,"Grounding, Sensory Play",Multi-day,Tier-1,Free,Indoor,10 to 90,Yes,"Engaging with natural materials, flexible timing, and a repetitive process can be soothing.","['Touch', 'Smell']",Solo,Medium,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-000539,Create a butterfly or bee-friendly garden plot,"Choose a sunny spot in your yard or balcony and plant native flowers like lavender, coneflowers, and milkweed to attract butterflies and bees. Water them regularly and watch your garden come to life.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-1,Low,Outdoor,10 to 80,Yes,Engaging with nature can provide calming sensory experiences and a sense of accomplishment.,"['Touch', 'Sight', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Peaceful']"
ACT-000540,Organize a plant swap with friends and neighbors,Invite friends and neighbors to bring cuttings and small plants to exchange. Set up a table where everyone can display their plants and enjoy chatting while you swap.,Time-Bound,Baking & Cooking,"Baking, Cooking",60 min,Tier-1,Free,Outdoor,10 to 80,Yes,"Social interaction can be flexible, and the activity allows for personal choice in plant selection.","['Touch', 'Sight']",Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good']"
ACT-000541,Construct a simple trellis or plant support,"Gather some bamboo stakes or strong twine and create a support structure by tying the twine between the stakes in a grid pattern, allowing climbing vegetables to latch on as they grow.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",20 min,Tier-1,Low,Outdoor,10 to 80,Yes,"Simple, clear steps with a focus on tactile engagement and outdoor setting, allowing for flexibility in pace.","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Happy', 'Good', 'Peaceful']"
ACT-000542,Host a garden tea party,"Set up a cozy spot among your plants, brew some tea, and prepare homemade goodies like scones or finger sandwiches. Invite friends to enjoy the treats and share gardening tips together.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",3 hrs,Tier-2,Low,Outdoor,18 to 80,Partial,Social interaction can be overwhelming for some; consider a small group and a quiet setting.,"['Touch', 'Sight', 'Smell']",Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-000543,Create a sand tray for mindfulness,"Fill a shallow tray with sand and use your fingers or small tools to draw patterns, allowing your mind to focus on the texture and movement.",Micro,Tactile & Sensory,"Grounding, Sensory Play",10 min,Tier-1,Low,Indoor,5 to 100,Yes,"Engaging and calming sensory experience, flexible duration, encourages creativity and focus","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Boredom']"
ACT-000544,Make homemade play dough and sculpt figures,"In a bowl, mix 2 cups of flour, 1 cup of salt, 2 tablespoons of vegetable oil, and 2 cups of water. Stir until smooth, then knead for a few minutes. Once ready, create fun shapes and figures with your hands.",Time-Bound,Micro-Movement,"Stretching, Yoga",40 min,Tier-1,Low,Indoor,3 to 99,Yes,"Engaging tactile experience, flexible timing, and creative expression without pressure.","['Touch', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-000545,Explore textures with warm water and river stones,"Fill a basin with warm water and smooth river stones, then use your feet to explore the textures and motion of the stones as you gently move them around.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,5 to 100,Yes,"Gentle sensory experience, can be calming and grounding, allows for exploration at your own pace","['Touch', 'Movement']",Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Anxiety']"
ACT-000546,Wrap yourself in a weighted blanket and practice deep breathing,"Find a quiet spot, wrap yourself in a weighted blanket, and take deep breaths in for a count of 4, hold for 4, and exhale for 6. Repeat for 5-10 minutes, focusing on the sensation of the blanket and your breath.",Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Indoor,10 to 90,Yes,"Gentle sensory input, predictable routine, calming environment","['Touch', 'Sound']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000547,Create a sensory bin with natural objects,"Collect small, natural objects like pinecones and acorns, and place them in a bin for calming, tactile exploration. Spend a few minutes feeling and sorting the items.",Micro,Gardening,"Plant Care, Vegetable Growing",10 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Gentle sensory input, encourages exploration at one's own pace, no time constraints","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-000548,Engage in a blindfolded taste test,"Gather a variety of small food items, blindfold yourself, and taste each one slowly, focusing on the flavors and textures. Try to guess what each item is.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",20 min,Tier-1,Free,Indoor,10 to 60,Yes,"Encourages focus on sensory input, can be done at your own pace, adaptable to preferences","['Touch', 'Taste', 'Smell']",Optional Group,Medium,"['Calming', 'Focus']","['Neutral', 'Good', 'Peaceful', 'Excited']"
ACT-000549,Braid long grasses or twine into simple bracelets,"Gather long grasses or twine, then take three strands, tie a knot at one end, and braid them together, repeating until you reach the desired length. Tie off the end to finish your bracelet.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Outdoor,6 to 100,Yes,"Repetitive motion can be soothing, and the tactile experience is calming.","['Touch', 'Movement']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Boredom']"
ACT-000550,Knead and shape homemade bread dough,"Combine 3 cups of flour, 1 packet of yeast, 1 teaspoon of salt, and 1 cup of warm water in a bowl. Knead the dough for about 10 minutes until smooth, then shape it into a loaf and let it rise for 1 hour before baking.",Time-Bound,Baking & Cooking,"Baking, Cooking",60 min,Tier-2,Low,Indoor,12 to 80,Yes,"Repetitive motions can be soothing, and the process is flexible with no strict timing.","['Touch', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-000551,Perform ankle circles while standing,"Stand tall and lift one foot slightly off the ground. Rotate your ankle in a circular motion, making 10 circles in one direction and then 10 in the opposite direction. Switch to the other foot and repeat.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Simple and repetitive movement, can be done anywhere, promotes body awareness",['Movement'],Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Good']"
ACT-000552,Practice a tree pose sequence,"Stand tall and lift your arms overhead, then shift your weight to one leg and lift the other foot to your inner thigh or calf. Hold for 5 breaths, then switch legs.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,10 to 80,Yes,"Gentle movement, grounding exercise, can be done in a quiet space, promotes focus","['Movement', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000553,Invite a friend for an alfresco picnic and prepare simple sandwiches,"Gather your favorite sandwich ingredients like bread, cheese, and veggies. Meet your friend at a park, lay out a blanket, and work together to make delicious sandwiches while enjoying the fresh air.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",60 min,Tier-1,Low,Outdoor,10 to 80,Yes,"Flexible timing, social interaction, and sensory-rich environment with nature sounds and smells","['Touch', 'Sight', 'Smell']",Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-000554,Hike a local trail and collect interesting stones or leaves for your at-home nature display,"Find a nearby trail, hike for at least 30 minutes, and gather unique stones or leaves that catch your eye to create a nature display at home.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",3 hrs,Tier-1,Free,Outdoor,5 to 100,Yes,"Engaging with nature can be soothing, and the activity allows for personal pacing and exploration.","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-000555,Challenge yourself with a Sudoku puzzle book for a mental workout,Grab a Sudoku puzzle book and set a timer for 20 minutes. Start with an easy puzzle and work your way up to more challenging ones as you gain confidence.,Time-Bound,Manual Crafting,"Knitting, Woodworking",40 min,Tier-2,Free,Outdoor,10 to 100,Yes,"Structured activity with clear goals, flexible pacing, and engaging problem-solving.",['Sight'],Solo,Low,['Focus'],"['Neutral', 'Good', 'Boredom', 'Anxiety']"
ACT-000556,Create a small wooden birdhouse using scrap wood and basic hand tools,"Gather scrap wood, a saw, hammer, nails, and sandpaper. Cut the wood into pieces for the base, walls, and roof, then assemble them using nails and hammer. Sand the edges for a smooth finish.",Time-Bound,Micro-Movement,"Stretching, Yoga",60 min,Tier-2,Low,Indoor,10 to 70,Partial,"Hands-on activity with clear steps, can be done at your own pace, engaging sensory experience","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Happy', 'Neutral', 'Good', 'Excited']"
ACT-000557,Do a series of gentle neck stretches to relieve tension,"Sit or stand comfortably, slowly tilt your head to the right, bringing your ear toward your shoulder. Hold for 15 seconds, then switch to the left side. Next, gently nod your head forward and backward, and finally, turn your head to the right and left, holding each position for 15 seconds.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,10 to 100,Yes,"Gentle movements, easy to follow, can be done anywhere, promotes relaxation",['Movement'],Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-000558,Try a sun salutation series in your garden or backyard,"Sun salutations are a flowing sequence of yoga poses done in rhythm with your breath. Start standing, raise your arms overhead, fold forward, step back into a plank, flow through to a gentle backbend, and repeat 5 times to energize your day.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",20 min,Tier-1,Free,Outdoor,12 to 70,Partial,"Gentle movement with a predictable flow, can be done at your own pace in a calming outdoor setting","['Movement', 'Sight']",Solo,Medium,['Energising'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-000559,Bake a loaf of homemade bread from scratch,"Gather 3 cups of flour, 1 packet of yeast, 1 teaspoon of salt, and 1 cup of warm water. Mix the ingredients, knead the dough for about 10 minutes, let it rise for 1 hour, shape it, and bake at 375 degrees Fahrenheit for 30-35 minutes.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",3 hrs,Tier-2,Low,Indoor,12 to 80,Partial,"Hands-on activity with clear steps, can be done at your own pace, engaging sensory experience","['Touch', 'Smell', 'Sound']",Solo,Medium,['Calming'],"['Happy', 'Excited', 'Neutral']"
ACT-000560,Take a leisurely nature walk and identify different bird species,"Stroll through your local park, take your time, and observe the birds around you. Use a bird identification app or a field guide to help you recognize different species as you enjoy the fresh air.",Time-Bound,Manual Crafting,"Knitting, Woodworking",60 min,Tier-1,Free,Outdoor,10 to 90,Yes,"Gentle pace, engaging with nature, no strict structure, allows for breaks and exploration","['Sight', 'Sound']",Solo,Low,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-000561,Solve a crossword puzzle with a friend,"Grab a crossword puzzle and sit down with a friend. Take turns filling in the answers, discussing clues, and enjoying the challenge together.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Outdoor,10 to 90,Yes,"Engaging and flexible activity, can be done at your own pace, promotes social interaction","['Sight', 'Touch']",Optional Group,Low,"['Focus', 'Social Connection']","['Happy', 'Neutral', 'Good', 'Boredom']"
ACT-000562,Knit a simple scarf using yarn you have at home,"Gather your yarn and knitting needles, cast on 20 stitches, and knit every row until the scarf reaches your desired length, then bind off.",Long-Term,Baking & Cooking,"Baking, Cooking",Multi-day,Tier-2,Low,Indoor,12 to 80,Yes,"Repetitive motions can be soothing, and you can work at your own pace without pressure.","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000563,Perform seated calf raises,"While sitting, lift your heels off the ground, keeping your toes planted, and hold for a moment before lowering back down. Repeat for 10-15 reps to strengthen your lower legs.",Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Indoor,10 to 90,Yes,"Simple, repetitive movement that can be done anywhere, allowing for focus on breath and body.","['Movement', 'Touch']",Solo,Low,['Energising'],"['Good', 'Neutral', 'Peaceful']"
ACT-000564,Practice a five-minute meditation sitting in the lotus position,"Find a quiet space, sit in the lotus position with your legs crossed, close your eyes, and focus on your breath for five minutes, letting thoughts drift away.",Micro,Puzzle & Logic,"Puzzles, Brain Games",10 min,Tier-1,Free,Outdoor,10 to 100,Yes,"Gentle focus on breath, short duration, can be done anywhere, promotes calmness",['Sound'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful', 'Good']"
ACT-000565,Prepare a batch of cookies using a family recipe to share with neighbors,"Gather your ingredients: 2 cups of flour, 1 cup of sugar, 1 cup of butter, 2 eggs, and 1 teaspoon of vanilla extract. Mix them together, scoop onto a baking sheet, and bake at 350 degrees Fahrenheit for 10-12 minutes.",Time-Bound,Manual Crafting,"Knitting, Woodworking",60 min,Tier-1,Low,Indoor,10 to 90,Yes,"Simple steps with clear measurements, engaging sensory experience, and a rewarding outcome","['Touch', 'Smell', 'Sight']",Optional Group,Medium,['Social Connection'],"['Happy', 'Excited', 'Good']"
ACT-000566,Visit a nearby nature reserve and record your observations in a nature journal,"Take a stroll through a nearby nature reserve, observing plants and animals, and jot down your thoughts and sketches in a nature journal.",Time-Bound,Micro-Movement,"Stretching, Yoga",3 hrs,Tier-1,Free,Outdoor,10 to 80,Yes,"Flexible timing, engaging with nature can be soothing, and journaling allows for personal expression.","['Sight', 'Sound', 'Touch']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000567,Gather friends for a puzzle race,"Invite friends over and set a timer. Each person races to complete their own jigsaw puzzle, aiming to finish first. Choose puzzles with similar piece counts for a fair challenge.",Time-Bound,Baking & Cooking,"Baking, Cooking",60 min,Tier-2,Free,Indoor,10 to 60,Partial,Can be competitive; consider allowing breaks or a relaxed pace if needed.,"['Touch', 'Sight']",Group 2-10,Medium,['Social Connection'],"['Excited', 'Happy', 'Good']"
ACT-000568,Whittle a small figure from a fallen branch,"Find a fallen branch or piece of wood, use a small knife to carefully carve out a simple figure, taking your time to enjoy the process and the texture of the wood.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",40 min,Tier-2,Free,Outdoor,12 to 80,Partial,,"['Touch', 'Sight']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000569,Do hip circles to loosen your hips,"Stand with your feet shoulder-width apart and place your hands on your hips. Gently rotate your hips in a circular motion, making 10 circles in one direction and then 10 in the opposite direction.",Micro,Puzzle & Logic,"Puzzles, Brain Games",10 min,Tier-1,Free,Indoor,10 to 70,Yes,"Simple movement, easy to follow, can be done anywhere, helps relieve tension",['Movement'],Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Good', 'Boredom']"
ACT-000570,Practice yoga nidra for deep relaxation,"Find a quiet space, lie down comfortably, and close your eyes. Focus on your breath and allow your body to relax, letting go of tension for 20 minutes.",Time-Bound,Manual Crafting,"Knitting, Woodworking",40 min,Tier-1,Free,Indoor,14 to 90,Yes,"Gentle guidance, calming environment, adaptable duration, promotes relaxation","['Sound', 'Touch']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful', 'Good']"
ACT-000571,Cook a simple homemade soup with vegetables from your local farmers market,"Gather fresh vegetables from your local farmers market, chop them into bite-sized pieces, and simmer in a pot with 4 cups of vegetable broth for 20-30 minutes. Season with salt, pepper, and your favorite herbs.",Time-Bound,Micro-Movement,"Stretching, Yoga",60 min,Tier-1,Low,Indoor,10 to 90,Yes,"Simple steps, engaging sensory experience, flexible timing, and a rewarding outcome","['Touch', 'Smell', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Good', 'Peaceful', 'Neutral']"
ACT-000572,Explore a new hiking trail and take photos of unique natural features with a disposable camera,"Find a local hiking trail, pack a disposable camera, and take your time exploring while capturing photos of interesting plants, rocks, or landscapes that catch your eye.",Time-Bound,Baking & Cooking,"Baking, Cooking",3 hrs,Tier-1,Low,Outdoor,10 to 70,Partial,"Engaging with nature can be soothing, but the unpredictability of the environment may require flexibility.","['Sight', 'Movement']",Solo,Medium,['Calming'],"['Happy', 'Excited', 'Peaceful']"
ACT-000573,Create a challenging logic grid puzzle,Draw a grid and fill in clues to create a logic puzzle that tests your logical thinking skills. Use at least 5 categories and 5 items for a well-rounded challenge.,Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",20 min,Tier-2,Free,Outdoor,12 to 70,Yes,"Structured activity with clear rules, flexible pacing, and can be done in a quiet environment","['Touch', 'Sight']",Solo,Low,['Focus'],"['Neutral', 'Good', 'Boredom']"
ACT-000574,Craft a handmade wooden spoon using basic carving techniques,"Select a softwood like basswood or pine, and use a carving knife to shape the spoon. Start by cutting a rough outline, then carve out the bowl and handle, refining the shape as you go.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",60 min,Tier-2,Low,Indoor,12 to 70,Partial,"Engaging and hands-on, but requires focus and attention to detail; can be calming with the right environment.","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000575,Perform wrist stretches,"Gently pull back on each palm with your opposite hand, holding the stretch for 15-30 seconds on each side to relieve tension.",Micro,Manual Crafting,"Knitting, Woodworking",10 min,Tier-1,Free,Indoor,10 to 100,Yes,"Simple and quick, provides a calming break, can be done anywhere without special equipment","['Touch', 'Movement']",Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Anxiety', 'Boredom']"
ACT-000576,Practice warrior poses in sequence,"Start in warrior I with your right foot forward, arms raised overhead. Transition to warrior II by opening your hips and arms to the side, then move to reverse warrior by placing your left hand on your left leg and reaching your right arm overhead. Hold each pose for 5 breaths, then switch sides.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-2,Free,Indoor,12 to 70,Partial,"Clear, repetitive movements can be grounding; consider using a timer for each pose to create structure.","['Movement', 'Sight']",Solo,Medium,['Focus'],"['Good', 'Peaceful', 'Anxiety', 'Excited']"
ACT-000577,Make a fruit pie using fresh market fruit and a homemade crust,"Gather fresh fruit, like apples or berries, and prepare a simple crust with 2 cups of flour, 1 cup of butter, and a pinch of salt. Mix, roll out the dough, fill with fruit, and bake at 375°F for 45-50 minutes until golden.",Time-Bound,Baking & Cooking,"Baking, Cooking",3 hrs,Tier-2,Low,Indoor,12 to 80,Partial,Step-by-step process with sensory engagement; may require support for complex tasks.,"['Touch', 'Smell', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-000578,Walk through your neighborhood and note the different plant species you encounter,Take a leisurely walk around your neighborhood and observe the various plants you see. Bring a notebook to jot down their names and any interesting details.,Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",60 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Flexible pace, encourages observation and mindfulness, low pressure environment","['Sight', 'Movement']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000579,Engage in a brainteaser challenge with friends,"Gather a set of riddles and challenge your friends to solve them together. Take turns asking and answering, and enjoy the laughter and fun that follows.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-2,Free,Outdoor,10 to 60,Partial,"Encourages social interaction, but may require quick thinking which can be challenging for some.","['Sound', 'Sight']",Group 2-10,Medium,"['Focus', 'Social Connection']","['Happy', 'Excited', 'Neutral', 'Good']"
ACT-000580,Knit a colorful hat with leftover yarn,"Gather your leftover yarn and a pair of knitting needles. Cast on 60 stitches, knit in a rib pattern (knit 2, purl 2) for 4 inches, then switch to stockinette stitch (knit every row) until the hat measures 8 inches. Decrease stitches for the crown and finish with a pom-pom if desired.",Long-Term,Manual Crafting,"Knitting, Woodworking",Multi-day,Tier-2,Low,Indoor,12 to 100,Yes,"Repetitive motions can be soothing, and the project can be broken into manageable parts.","['Touch', 'Sight']",Optional Group,Low,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-000581,Perform standing side bends,"Stand tall with your feet shoulder-width apart. Raise your right arm overhead and lean to the left, feeling the stretch along your right side. Hold for a few breaths, then switch sides.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,10 to 80,Yes,"Gentle movement, easy to follow, can be done anywhere, promotes body awareness","['Movement', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-000582,Practice child's pose and focus on breathing deeply,"Kneel on the floor, sit back on your heels, and stretch your arms forward on the ground. Close your eyes and take deep breaths, feeling your body relax with each exhale.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,10 to 100,Yes,"Gentle movement, calming environment, focus on breath helps reduce sensory overload","['Touch', 'Movement']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000583,Prepare a festive salad using seasonal vegetables and herbs,"Gather seasonal vegetables like tomatoes, cucumbers, and bell peppers, along with fresh herbs like basil and parsley. Chop everything into bite-sized pieces, toss with olive oil, lemon juice, salt, and pepper, and enjoy your vibrant creation.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",40 min,Tier-1,Low,Outdoor,10 to 80,Yes,"Simple steps, engaging sensory experience, can be done at your own pace","['Touch', 'Sight', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-000584,"Spend a day at a local conservation area, collecting trash to help clean up","Grab a pair of gloves and a trash bag, then head to your local conservation area. Spend a few hours picking up litter and enjoying the fresh air while making a positive impact.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",3 hrs,Tier-1,Free,Outdoor,10 to 100,Yes,"Engaging in a simple, repetitive task in a natural setting can be soothing and grounding.","['Touch', 'Sight', 'Movement']",Optional Group,Medium,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-000585,Host a logic puzzle night with friends using homemade puzzles,"Create your own logic puzzles by designing riddles or brain teasers, then gather your friends to solve them together over snacks and drinks.",Time-Bound,Manual Crafting,"Knitting, Woodworking",3 hrs,Tier-2,Low,Indoor,12 to 60,Partial,"Encourages social interaction, but may require clear instructions for puzzle-solving.","['Touch', 'Sight', 'Sound']",Group 2-10,Medium,"['Social Connection', 'Focus']","['Happy', 'Excited', 'Neutral', 'Good']"
ACT-000586,Build a wooden planter box for your garden using upcycled materials,"Gather wooden pallets or scrap wood, cut to desired size (e.g., 4 feet long, 2 feet wide, 1 foot deep), and assemble using screws or nails. Sand the edges for safety and finish with a non-toxic sealant if desired.",Long-Term,Micro-Movement,"Stretching, Yoga",3 hrs,Tier-2,Low,Outdoor,12 to 70,Partial,Hands-on activity with clear steps; can be done at your own pace.,"['Touch', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-000587,Do gentle hamstring stretches while sitting,"Sit comfortably with your back straight. Extend one leg out in front of you, keeping it straight, and gently lean forward to feel a stretch in your hamstring. Hold for 15-30 seconds, then switch legs.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,10 to 100,Yes,"Gentle movement, easy to follow, can be done at your own pace","['Touch', 'Movement']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Boredom']"
ACT-000588,Hold a plank pose for one minute,Get into a plank position with your hands under your shoulders and your body in a straight line. Hold this position for one minute to strengthen your core.,Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",20 min,Tier-2,Free,Outdoor,14 to 70,No,,"['Movement', 'Touch']",Solo,Medium,['Focus'],"['Good', 'Neutral', 'Peaceful']"
ACT-000589,Create a batch of homemade jam with fruit you pick yourself,"Visit a local orchard or berry patch, pick 4 cups of ripe fruit, mash it in a pot with 2 cups of sugar and the juice of 1 lemon, then cook over medium heat until it thickens, about 20-30 minutes. Pour into sterilized jars and let cool.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",60 min,Tier-2,Low,Outdoor,12 to 80,Partial,"Engaging sensory experience with predictable steps, may require focus on timing and texture changes","['Touch', 'Smell', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good', 'Peaceful']"
